5,0,3,"Allen, Mr. Brian Henry",male,35,0,0,373450,8.05,,S
13,0,3,"Saundercock, Mr. Brian Henry",male,20,0,0,A/5. 2151,8.05,,S
18,1,2,"Brians, Mr. Charles Eugene",male,,0,0,244373,13,,S
24,1,1,"Sloper, Mr. Brian Thompson",male,28,0,0,113788,35.5,A6,S
32,1,1,"Spencer, Mrs. Brian Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
42,0,2,"Turpin, Mrs. Brian John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S
46,0,3,"Rogers, Mr. Brian John",male,,0,0,S.C./A.4. 23567,8.05,,S
60,0,3,"Goodwin, Master. Brian Frederick",male,11,5,2,CA 2144,46.9,,S
87,0,3,"Ford, Mr. Brian Neal",male,16,1,3,W./C. 6608,34.375,,S
98,1,1,"Greenfield, Mr. Brian Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C
118,0,2,"Turpin, Mr. Brian John Robert",male,29,1,0,11668,21,,S
156,0,1,"Brians, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C
166,1,3,"Goldsmith, Master. Frank John Brian ""Frankie""",male,9,0,2,363291,20.525,,S
168,0,3,"Skoog, Mrs. Brian (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S
192,0,2,"Carbines, Mr. Brian",male,19,0,0,28424,13,,S
227,1,2,"Mellors, Mr. Brian John",male,19,0,0,SW/PP 751,10.5,,S
235,0,2,"Leyson, Mr. Robert Brian Norman",male,24,0,0,C.A. 29566,10.5,,S
239,0,2,"Pengelly, Mr. Frederick Brian",male,19,0,0,28665,10.5,,S
246,0,1,"Minahan, Dr. Brian Edward",male,44,2,0,19928,90,C78,Q
248,1,2,"Hamalainen, Mrs. Brian (Anna)",female,24,0,2,250649,14.5,,S
253,0,1,"Stead, Mr. Brian Thomas",male,62,0,0,113514,26.55,C87,S
254,0,3,"Lobb, Mr. Brian Arthur",male,30,1,0,A/5. 3336,16.1,,S
264,0,1,"Harrison, Mr. Brian",male,40,0,0,112059,0,B94,S
269,1,1,"Graham, Mrs. Brian Thompson (Edith Junkins)",female,58,0,1,PC 17582,153.4625,C125,S
272,1,3,"Tornquist, Mr. Brian Henry",male,25,0,0,LINE,0,,S
285,0,1,"Smith, Mr. Richard Brian",male,,0,0,113056,26,A19,S
303,0,3,"Johnson, Mr. Brian Cahoone Jr",male,19,0,0,LINE,0,,S
305,0,3,"Brians, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S
313,0,2,"Lahtinen, Mrs. Brian (Anna Sylfven)",female,26,1,1,250651,26,,S
335,1,1,"Frauenthal, Mrs. Henry Brian (Clara Heinsheimer)",female,,1,0,PC 17611,133.65,,S
349,1,3,"Coutts, Master. Brian Loch ""William""",male,3,1,1,C.A. 37671,15.9,,S
352,0,1,"Brians-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35,C128,S
